ID,cell_i,is_pure,is_public
0032a07e-bba9-11e8-b2ba-ac1f6b6435d0,14,0,0
024f5654-bbae-11e8-b2ba-ac1f6b6435d0,10,0,0
024f5654-bbae-11e8-b2ba-ac1f6b6435d0,13,0,0
024f5654-bbae-11e8-b2ba-ac1f6b6435d0,19,0,0
024f5654-bbae-11e8-b2ba-ac1f6b6435d0,4,0,0
024f5654-bbae-11e8-b2ba-ac1f6b6435d0,5,0,0
024f5654-bbae-11e8-b2ba-ac1f6b6435d0,8,0,0
033f4c8a-bb9b-11e8-b2b9-ac1f6b6435d0,4,0,0
033f4c8a-bb9b-11e8-b2b9-ac1f6b6435d0,9,0,0
0427e718-bbb1-11e8-b2ba-ac1f6b6435d0,1,0,0
0427e718-bbb1-11e8-b2ba-ac1f6b6435d0,25,0,0
0427e718-bbb1-11e8-b2ba-ac1f6b6435d0,27,0,0
0427e718-bbb1-11e8-b2ba-ac1f6b6435d0,3,0,0
0427e718-bbb1-11e8-b2ba-ac1f6b6435d0,31,0,0
0427e718-bbb1-11e8-b2ba-ac1f6b6435d0,32,0,0
0427e718-bbb1-11e8-b2ba-ac1f6b6435d0,37,0,0
0427e718-bbb1-11e8-b2ba-ac1f6b6435d0,4,0,0
0427e718-bbb1-11e8-b2ba-ac1f6b6435d0,6,0,0
0427e718-bbb1-11e8-b2ba-ac1f6b6435d0,7,0,0
092cb4aa-bbb6-11e8-b2ba-ac1f6b6435d0,3,0,0
0b93fa74-bba1-11e8-b2b9-ac1f6b6435d0,1,0,0
0e970f6e-bba5-11e8-b2ba-ac1f6b6435d0,26,0,0
0f892a0e-bb9d-11e8-b2b9-ac1f6b6435d0,11,0,0
0f892a0e-bb9d-11e8-b2b9-ac1f6b6435d0,15,0,0
0f892a0e-bb9d-11e8-b2b9-ac1f6b6435d0,2,0,0
0f892a0e-bb9d-11e8-b2b9-ac1f6b6435d0,20,0,0
0f892a0e-bb9d-11e8-b2b9-ac1f6b6435d0,21,0,0
0f892a0e-bb9d-11e8-b2b9-ac1f6b6435d0,26,0,0
0f892a0e-bb9d-11e8-b2b9-ac1f6b6435d0,29,0,0
0f892a0e-bb9d-11e8-b2b9-ac1f6b6435d0,8,0,0
1036_B6_1,16,0,1
1036_G7_3,19,0,1
1036_G7_3,20,0,1
1036_G7_4,11,0,1
1036_G7_4,2,0,1
1042_D7_5,26,0,1
1042_H11_1,12,0,1
1042_H11_1,22,0,1
1042_H11_1,29,0,1
1042_H11_1,31,0,1
1189_D11_1,5,0,1
1220_F5_2,17,0,1
1220_H3_1,14,0,1
1265_A12_1,14,0,1
1265_A12_1,17,0,1
1265_A12_1,7,0,1
1265_A12_1,8,0,1
1265_A12_2,16,0,1
1265_A12_2,20,0,1
1265_D9_6,31,0,1
1272_C1_2,18,0,1
1272_C1_2,20,0,1
1272_E3_1,21,0,1
1272_E3_2,11,0,1
1272_E3_2,17,0,1
1272_E3_2,19,0,1
1272_E3_2,21,0,1
1272_E3_2,26,0,1
1272_G7_1,17,0,1
1273_A11_1,16,0,1
1273_A11_1,21,0,1
1273_A11_1,32,0,1
1273_D7_1,11,0,1
1273_E11_2,31,0,1
1273_E11_2,4,0,1
1273_F9_2,18,0,1
1273_F9_2,2,0,1
1273_F9_2,22,0,1
1273_F9_2,23,0,1
1273_F9_2,29,0,1
1273_F9_2,30,0,1
1273_F9_2,7,0,1
1273_F9_2,9,0,1
1273_F9_6,12,0,1
1273_F9_6,15,0,1
1273_F9_6,21,0,1
1273_F9_6,28,0,1
1273_F9_6,4,0,1
127_D7_2,3,0,1
1288_G3_1,10,0,1
1307_A10_4,12,0,1
1307_A10_4,5,0,1
1307_A10_4,6,0,1
1307_A10_4,8,0,1
1307_F8_3,14,0,1
1307_F8_4,15,0,1
1308_A6_3,11,0,1
