ID,cell_i
06631b0e-bbb8-11e8-b2ba-ac1f6b6435d0,16
1918_F8_3,35
295_B5_2,6
89c5cda0-bbc9-11e8-b2bc-ac1f6b6435d0,5
529_F8_1,3
79babd56-bbc6-11e8-b2bc-ac1f6b6435d0,19
a02831f2-bbb3-11e8-b2ba-ac1f6b6435d0,54
ab654f6e-bbb8-11e8-b2ba-ac1f6b6435d0,22
1642_G7_35,12
2b45df00-bba5-11e8-b2ba-ac1f6b6435d0,31
b578c7cc-bb9c-11e8-b2b9-ac1f6b6435d0,19
658_B7_2,2
9f3ead6a-bbaf-11e8-b2ba-ac1f6b6435d0,25
fb06a518-bbb8-11e8-b2ba-ac1f6b6435d0,6
686f7836-bbba-11e8-b2ba-ac1f6b6435d0,7
4f373c66-bb9f-11e8-b2b9-ac1f6b6435d0,5
430_E10_1,13
78e6cc8c-bbbf-11e8-b2bb-ac1f6b6435d0,21
04b25a3a-bbc3-11e8-b2bc-ac1f6b6435d0,15
212_D6_2,4
1947_B10_1,22
236_G1_1,6
1695_H1_18,28
1947_F2_1,22
281_G10_2,18
30bb178c-bbc5-11e8-b2bc-ac1f6b6435d0,28
174_C11_2,8
380_F9_1,4
221_D11_1,2
09f01c08-bba0-11e8-b2b9-ac1f6b6435d0,12
1fe1ae58-bba2-11e8-b2b9-ac1f6b6435d0,4
48afdcce-bbac-11e8-b2ba-ac1f6b6435d0,7
6fa7b67a-bb99-11e8-b2b9-ac1f6b6435d0,8
76a595c8-bbb2-11e8-b2ba-ac1f6b6435d0,21
fb8f1b50-bb9f-11e8-b2b9-ac1f6b6435d0,16
174_H10_2,13
986b1108-bbc9-11e8-b2bc-ac1f6b6435d0,14
dcb6f730-bbc6-11e8-b2bc-ac1f6b6435d0,4
efd978cc-bba0-11e8-b2b9-ac1f6b6435d0,14
f803b252-bb9a-11e8-b2b9-ac1f6b6435d0,8
444840ec-bbaf-11e8-b2ba-ac1f6b6435d0,31
1918_F6_9,33
acb198ee-bbba-11e8-b2ba-ac1f6b6435d0,21
0d858328-bbc6-11e8-b2bc-ac1f6b6435d0,2
1886_E8_1,16
416_G11_1,6
d648c8ee-bbbf-11e8-b2bb-ac1f6b6435d0,27
6284c7ae-bba7-11e8-b2ba-ac1f6b6435d0,3
65b9f246-bbc0-11e8-b2bb-ac1f6b6435d0,9
4d02e684-bbb3-11e8-b2ba-ac1f6b6435d0,17
921b908c-bbc6-11e8-b2bc-ac1f6b6435d0,28
d41705a4-bbba-11e8-b2ba-ac1f6b6435d0,16
59750e3a-bbc5-11e8-b2bc-ac1f6b6435d0,14
1020_H6_1,14
0e6fb1cc-bbb3-11e8-b2ba-ac1f6b6435d0,8
1759_G3_27,33
1912_F5_14,16
7906b2ee-bba7-11e8-b2ba-ac1f6b6435d0,24
e0c7ee08-bbba-11e8-b2ba-ac1f6b6435d0,17
fb4dc19e-bbbf-11e8-b2bb-ac1f6b6435d0,9
67fe2a32-bbc4-11e8-b2bc-ac1f6b6435d0,4
12f6cca4-bbb7-11e8-b2ba-ac1f6b6435d0,13
d8c5533c-bbb3-11e8-b2ba-ac1f6b6435d0,13
1125_G3_2,17
9f3ead6a-bbaf-11e8-b2ba-ac1f6b6435d0,22
1973_F1_19,22
548b8fbe-bba4-11e8-b2b9-ac1f6b6435d0,25
0cd92bf2-bbab-11e8-b2ba-ac1f6b6435d0,0
857_C2_1,1
04b25a3a-bbc3-11e8-b2bc-ac1f6b6435d0,8
1695_H1_18,5
1745_G4_17,7
1947_F2_1,15
30bb178c-bbc5-11e8-b2bc-ac1f6b6435d0,27
a2b721fa-bba2-11e8-b2b9-ac1f6b6435d0,18
258850ec-bba6-11e8-b2ba-ac1f6b6435d0,1
492_F10_1,9
1fe1ae58-bba2-11e8-b2b9-ac1f6b6435d0,13
7420c8e8-bb9b-11e8-b2b9-ac1f6b6435d0,8
2cf80272-bba2-11e8-b2b9-ac1f6b6435d0,36
923_C8_3,10
d7cfe122-bb9f-11e8-b2b9-ac1f6b6435d0,18
a0df6444-bbae-11e8-b2ba-ac1f6b6435d0,19
35bfe870-bb9d-11e8-b2b9-ac1f6b6435d0,16
1036_B6_2,10
27f4f6ac-bbc7-11e8-b2bc-ac1f6b6435d0,58
52f61234-bbb6-11e8-b2ba-ac1f6b6435d0,42
b57791de-bbb2-11e8-b2ba-ac1f6b6435d0,18
335_C11_2,0
1233_A4_2,38
1789_A1_31,13
755_F10_2,9
340_F8_1,8
ad2cffb6-bbba-11e8-b2ba-ac1f6b6435d0,7
c869c1b2-bbc2-11e8-b2bc-ac1f6b6435d0,0
40256da6-bbb3-11e8-b2ba-ac1f6b6435d0,32
180_A6_1,4
7180f0c2-bbb4-11e8-b2ba-ac1f6b6435d0,37
859_C8_5,2
1040_F3_1,8
15e3718c-bba9-11e8-b2ba-ac1f6b6435d0,0
7906b2ee-bba7-11e8-b2ba-ac1f6b6435d0,19
53d25f7a-bbaa-11e8-b2ba-ac1f6b6435d0,0
3891fa92-bbad-11e8-b2ba-ac1f6b6435d0,3
1789_H3_10,11
695e1446-bbbf-11e8-b2ba-ac1f6b6435d0,7
277_E5_2,1
79babd56-bbc6-11e8-b2bc-ac1f6b6435d0,29
837_G3_2,1
274e7214-bb9f-11e8-b2b9-ac1f6b6435d0,0
40_H9_2,9
750a1d30-bb9c-11e8-b2b9-ac1f6b6435d0,7
1973_F1_19,17
461_H6_5,0
8ec0a314-bbbc-11e8-b2ba-ac1f6b6435d0,9
2f8ef692-bba9-11e8-b2ba-ac1f6b6435d0,4
1729_G1_1,10
bf200ca0-bbbe-11e8-b2ba-ac1f6b6435d0,18
342_H6_1,10
01a2fd5e-bbb4-11e8-b2ba-ac1f6b6435d0,22
d88df6ae-bbb2-11e8-b2ba-ac1f6b6435d0,10
8c668e80-bbc6-11e8-b2bc-ac1f6b6435d0,16
e549f598-bbab-11e8-b2ba-ac1f6b6435d0,35
03d56a18-bbb8-11e8-b2ba-ac1f6b6435d0,0
bf81ed02-bbab-11e8-b2ba-ac1f6b6435d0,20
19e9765e-bbc3-11e8-b2bc-ac1f6b6435d0,18
1918_B1_5,30
b3a73a52-bbc7-11e8-b2bc-ac1f6b6435d0,15
1723_H8_23,0
c3c11bf6-bbbd-11e8-b2ba-ac1f6b6435d0,16
c8967ee4-bbb0-11e8-b2ba-ac1f6b6435d0,28
48afdcce-bbac-11e8-b2ba-ac1f6b6435d0,9
1918_F8_28,47
d5b2515e-bbc7-11e8-b2bc-ac1f6b6435d0,25
857_G12_1,3
4da7c014-bbc7-11e8-b2bc-ac1f6b6435d0,19
297_B5_1,4
4befec0a-bbc3-11e8-b2bc-ac1f6b6435d0,53
4eb8a9ca-bbc0-11e8-b2bb-ac1f6b6435d0,24
512_D2_2,5
ca246e30-bb9a-11e8-b2b9-ac1f6b6435d0,8
1918_F8_3,73
1973_E10_5,34
ff2a8528-bbb4-11e8-b2ba-ac1f6b6435d0,21
20_F7_2,11
1718_H7_13,18
6284c7ae-bba7-11e8-b2ba-ac1f6b6435d0,29
87418bb4-bb9c-11e8-b2b9-ac1f6b6435d0,5
1898_G7_28,30
1692_D1_8,4
1788_F2_17,24
3fd4e18c-bb9b-11e8-b2b9-ac1f6b6435d0,36
778_G6_2,3
326_H7_2,2
1717_G8_34,0
6f2690b8-bb99-11e8-b2b9-ac1f6b6435d0,11
747_D1_2,6
d8f50874-bbaf-11e8-b2ba-ac1f6b6435d0,8
667001f8-bba2-11e8-b2b9-ac1f6b6435d0,8
99e8dc38-bb9f-11e8-b2b9-ac1f6b6435d0,18
61f6ea1e-bba8-11e8-b2ba-ac1f6b6435d0,11
40_H9_2,0
d5dfd322-bbb8-11e8-b2ba-ac1f6b6435d0,0
235_C2_2,5
261e444a-bbaa-11e8-b2ba-ac1f6b6435d0,8
56f44fbe-bbba-11e8-b2ba-ac1f6b6435d0,14
739b0880-bbae-11e8-b2ba-ac1f6b6435d0,14
27d63684-bbc9-11e8-b2bc-ac1f6b6435d0,30
c521f280-bbc8-11e8-b2bc-ac1f6b6435d0,0
1947_B10_1,3
8e48627a-bbc9-11e8-b2bc-ac1f6b6435d0,9
19e9765e-bbc3-11e8-b2bc-ac1f6b6435d0,25
334_C11_3,6
1610_B9_2,14
1672_B2_3,3
221_D11_2,17
77d32280-bbbc-11e8-b2ba-ac1f6b6435d0,30
865_H2_1,39
a41d0b4a-bb9d-11e8-b2b9-ac1f6b6435d0,30
a9ce8884-bba7-11e8-b2ba-ac1f6b6435d0,14
685df032-bb9e-11e8-b2b9-ac1f6b6435d0,1
3c4cca06-bbab-11e8-b2ba-ac1f6b6435d0,1
c8f4ecf2-bb99-11e8-b2b9-ac1f6b6435d0,23
782_F5_1,11
827_G2_6,11
1918_B2_18,101
356e4904-bb9b-11e8-b2b9-ac1f6b6435d0,31
538e657c-bbb4-11e8-b2ba-ac1f6b6435d0,4
218_D12_2,9
212_D6_1,6
1819_B6_20,4
420_D9_1,10
4f0f47c2-bb9c-11e8-b2b9-ac1f6b6435d0,10
79_E3_2,5
a46bc92c-bbae-11e8-b2ba-ac1f6b6435d0,16
291_B9_2,4
8418f418-bbba-11e8-b2ba-ac1f6b6435d0,13
1984_A1_13,28
1893_H21_27,24
9f7907ae-bb9a-11e8-b2b9-ac1f6b6435d0,6
6a1b5da2-bbc0-11e8-b2bb-ac1f6b6435d0,10
b96b74aa-bbac-11e8-b2ba-ac1f6b6435d0,23
1165_D10_1,26
1789_D8_19,15
172_A11_1,4
e3bb3eae-bbaf-11e8-b2ba-ac1f6b6435d0,6
1752_G4_17,9
408_B3_2,4
c521f280-bbc8-11e8-b2bc-ac1f6b6435d0,7
dca83534-bbbb-11e8-b2ba-ac1f6b6435d0,7
7032aee2-bbc1-11e8-b2bb-ac1f6b6435d0,14
e733669c-bbc8-11e8-b2bc-ac1f6b6435d0,7
19e9765e-bbc3-11e8-b2bc-ac1f6b6435d0,0
a7fba28e-bbad-11e8-b2ba-ac1f6b6435d0,3
518_E12_1,17
1708_G2_17,8
1717_C11_16,11
9f8967ec-bbc8-11e8-b2bc-ac1f6b6435d0,12
097cfaa0-bbca-11e8-b2bc-ac1f6b6435d0,8
1852_E5_33,30
519_C1_2,8
69310054-bbca-11e8-b2bc-ac1f6b6435d0,1
4da7c014-bbc7-11e8-b2bc-ac1f6b6435d0,1
2d0ce2ce-bbba-11e8-b2ba-ac1f6b6435d0,10
3eee1284-bbc8-11e8-b2bc-ac1f6b6435d0,2
3e9d98ba-bb9e-11e8-b2b9-ac1f6b6435d0,11
e853eb84-bbc1-11e8-b2bb-ac1f6b6435d0,8
1789_A1_31,24
1819_B6_20,3
1698_B11_3,12
208fe06c-bbb7-11e8-b2ba-ac1f6b6435d0,20
383_H6_5,16
f4cbc842-bb9d-11e8-b2b9-ac1f6b6435d0,18
1361_C12_1,5
8fc3f866-bb9d-11e8-b2b9-ac1f6b6435d0,26
982_C5_1,15
291_B9_2,3
11626950-bb9b-11e8-b2b9-ac1f6b6435d0,4
1572_E2_4,7
7ec881f0-bbb4-11e8-b2ba-ac1f6b6435d0,12
1310_F12_5,17
1263_A12_2,1
15a298e4-bbca-11e8-b2bc-ac1f6b6435d0,6
234_C8_2,2
484_G3_2,3
612_E9_1,4
3aca6b36-bbb8-11e8-b2ba-ac1f6b6435d0,5
453_B1_1,15
1718_A1_14,34
cedd50a8-bba5-11e8-b2ba-ac1f6b6435d0,11
152_E2_1,0
165_F4_2,4
d88df6ae-bbb2-11e8-b2ba-ac1f6b6435d0,21
56f44fbe-bbba-11e8-b2ba-ac1f6b6435d0,0
f089726a-bba3-11e8-b2b9-ac1f6b6435d0,5
1715_A1_17,51
ad9ff498-bbbb-11e8-b2ba-ac1f6b6435d0,7
c521f280-bbc8-11e8-b2bc-ac1f6b6435d0,14
dc85a8c4-bbb2-11e8-b2ba-ac1f6b6435d0,7
1769_C9_8,35
19e9765e-bbc3-11e8-b2bc-ac1f6b6435d0,7
020c961e-bbb5-11e8-b2ba-ac1f6b6435d0,13
9eda3cd6-bb9b-11e8-b2b9-ac1f6b6435d0,15
9f8967ec-bbc8-11e8-b2bc-ac1f6b6435d0,5
544_G1_1,2
1947_B10_3,6
467_D6_1,5
523_G11_1,1
47373902-bbc3-11e8-b2bc-ac1f6b6435d0,10
6990d6c0-bba5-11e8-b2ba-ac1f6b6435d0,20
4da7c014-bbc7-11e8-b2bc-ac1f6b6435d0,8
85a8b632-bbb1-11e8-b2ba-ac1f6b6435d0,14
8d2bda4a-bbc2-11e8-b2bb-ac1f6b6435d0,15
0f148844-bbb5-11e8-b2ba-ac1f6b6435d0,17
ddbf79ca-bba5-11e8-b2ba-ac1f6b6435d0,3
364_C9_2,7
6284c7ae-bba7-11e8-b2ba-ac1f6b6435d0,38
8fc3f866-bb9d-11e8-b2b9-ac1f6b6435d0,19
275_D10_2,6
11626950-bb9b-11e8-b2b9-ac1f6b6435d0,11
1891_O18_21,83
28798ada-bba8-11e8-b2ba-ac1f6b6435d0,34
183_A12_2,12
b1396638-bb99-11e8-b2b9-ac1f6b6435d0,0
127_C3_2,2
217e1432-bba1-11e8-b2b9-ac1f6b6435d0,33
1319_C10_2,6
dfb68020-bba5-11e8-b2ba-ac1f6b6435d0,7
66eeca10-bba7-11e8-b2ba-ac1f6b6435d0,17
369_C9_3,11
1789_B10_7,8
aca44a3c-bbb4-11e8-b2ba-ac1f6b6435d0,11
1769_D3_18,2
baf82a88-bbb2-11e8-b2ba-ac1f6b6435d0,1
9d6ba280-bba1-11e8-b2b9-ac1f6b6435d0,4
09852156-bbb8-11e8-b2ba-ac1f6b6435d0,50
1623_B1_2,4
215_E1_2,10
1692_B11_28,10
24_E4_2,8
275_D12_2,12
8231ba8e-bba8-11e8-b2ba-ac1f6b6435d0,6
5a2fb104-bbc5-11e8-b2bc-ac1f6b6435d0,15
dc85a8c4-bbb2-11e8-b2ba-ac1f6b6435d0,14
df5233f2-bbac-11e8-b2ba-ac1f6b6435d0,14
658_E8_2,8
15a2aa9c-bbbf-11e8-b2ba-ac1f6b6435d0,6
300_B9_4,5
5a15dd36-bbc2-11e8-b2bb-ac1f6b6435d0,33
7cb7642a-bbba-11e8-b2ba-ac1f6b6435d0,5
a143f872-bba5-11e8-b2ba-ac1f6b6435d0,19
23722a9e-bbab-11e8-b2ba-ac1f6b6435d0,7
146_F8_2,2
42664ab0-bba2-11e8-b2b9-ac1f6b6435d0,26
ac809320-bbbf-11e8-b2bb-ac1f6b6435d0,23
01b99e6c-bbb2-11e8-b2ba-ac1f6b6435d0,15
4622af50-bbb5-11e8-b2ba-ac1f6b6435d0,33
04ee9860-bbb9-11e8-b2ba-ac1f6b6435d0,14
0ff03686-bbb6-11e8-b2ba-ac1f6b6435d0,9
272_F9_2,11
61f4437e-bbb0-11e8-b2ba-ac1f6b6435d0,2
d311193c-bbc5-11e8-b2bc-ac1f6b6435d0,9
f23e4a92-bbb0-11e8-b2ba-ac1f6b6435d0,6
1712_B11_12,30
1248b66a-bbca-11e8-b2bc-ac1f6b6435d0,19
1707_C2_4,25
3e632254-bbba-11e8-b2ba-ac1f6b6435d0,17
41a94746-bba5-11e8-b2ba-ac1f6b6435d0,40
4788e3b6-bbb3-11e8-b2ba-ac1f6b6435d0,13
88a9829c-bbae-11e8-b2ba-ac1f6b6435d0,15
2c96adda-bbc8-11e8-b2bc-ac1f6b6435d0,42
5d519242-bbae-11e8-b2ba-ac1f6b6435d0,15
d684e50c-bbc6-11e8-b2bc-ac1f6b6435d0,16
f667c53e-bbc0-11e8-b2bb-ac1f6b6435d0,39
1752_D8_8,42
1789_B10_7,3
275_D9_1,12
b0c0e0e4-bba0-11e8-b2b9-ac1f6b6435d0,7
9698ee10-bbb8-11e8-b2ba-ac1f6b6435d0,26
32f3d2e8-bbaf-11e8-b2ba-ac1f6b6435d0,6
266_G2_2,9
537_C9_1,0
b237f188-bba5-11e8-b2ba-ac1f6b6435d0,23
56f44fbe-bbba-11e8-b2ba-ac1f6b6435d0,18
93904a96-bb9b-11e8-b2b9-ac1f6b6435d0,36
1709_G12_18,3
8231ba8e-bba8-11e8-b2ba-ac1f6b6435d0,15
101e365e-bba6-11e8-b2ba-ac1f6b6435d0,11
75_E4_2,7
242_E12_1,7
331_C5_2,3
1652_F2_3,52
218_D9_2,5
518_E12_1,12
7329f282-bba7-11e8-b2ba-ac1f6b6435d0,16
15a2aa9c-bbbf-11e8-b2ba-ac1f6b6435d0,13
1516_A11_3,22
1767_D2_10,25
1694_B4_8,11
1845_F6_18,4
323_B9_1,10
71978a70-bbba-11e8-b2ba-ac1f6b6435d0,21
1610_A2_6,0
f3ab1db0-bbab-11e8-b2ba-ac1f6b6435d0,0
8922c7e4-bbbb-11e8-b2ba-ac1f6b6435d0,13
1637_D11_17,48
982_C5_2,2
272_F9_2,12
b05cebf2-bba0-11e8-b2b9-ac1f6b6435d0,21
11ffa2fe-bbb6-11e8-b2ba-ac1f6b6435d0,13
1788_D1_29,2
29f80b3a-bbb1-11e8-b2ba-ac1f6b6435d0,3
b578c7cc-bb9c-11e8-b2b9-ac1f6b6435d0,42
1916_B8_9,29
a232870a-bbbc-11e8-b2ba-ac1f6b6435d0,2
6852ec02-bba6-11e8-b2ba-ac1f6b6435d0,11
637fddbc-bbaa-11e8-b2ba-ac1f6b6435d0,29
52_G11_2,11
3e632254-bbba-11e8-b2ba-ac1f6b6435d0,26
1973_F1_19,84
1768_F9_4,19
07fec9dc-bbad-11e8-b2ba-ac1f6b6435d0,9
91365d06-bbca-11e8-b2bc-ac1f6b6435d0,9
8bceed66-bbc9-11e8-b2bc-ac1f6b6435d0,30
e82c6aca-bbab-11e8-b2ba-ac1f6b6435d0,0
1789_A1_28,9
f8bedad6-bbb4-11e8-b2ba-ac1f6b6435d0,12
218_A1_1,7
f8a71d32-bbb5-11e8-b2ba-ac1f6b6435d0,32
3c751bfe-bb9d-11e8-b2b9-ac1f6b6435d0,18
a4067b68-bbb7-11e8-b2ba-ac1f6b6435d0,8
1182_G7_2,1
16aedd96-bbc1-11e8-b2bb-ac1f6b6435d0,41
1918_B1_5,72
0f083a00-bbb8-11e8-b2ba-ac1f6b6435d0,24
1898_C6_1,40
bd5a9ef0-bb9e-11e8-b2b9-ac1f6b6435d0,13
be89c7d0-bba1-11e8-b2b9-ac1f6b6435d0,1
15a2aa9c-bbbf-11e8-b2ba-ac1f6b6435d0,20
